product_id,product_group,product_category,product_type,product,product_description,unit_of_measure,current_wholesale_price,current_retail_price,tax_exempt_yn,promo_yn,new_product_yn
35,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Still a front runner for good premium coffee. ,16 oz,7440,37200,Y,N,N
36,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Still a front runner for good premium coffee. ,24 oz,9000,45000,Y,N,N
37,Beverages,Coffee,Barista Espresso,Espresso shot,You will think you are in Venice when you sip this one. ,1.5 oz,7200,36000,Y,N,N
38,Beverages,Coffee,Barista Espresso,Latte,You will think you are in Venice when you sip this one. ,1.5 oz,9000,45000,Y,N,N
39,Beverages,Coffee,Barista Espresso,Latte Rg,You will think you are in Venice when you sip this one. ,3.0 oz,10200,51000,Y,N,N
40,Beverages,Coffee,Barista Espresso,Cappuccino,You will think you are in Venice when you sip this one. ,1.5 oz,9000,45000,Y,N,N
41,Beverages,Coffee,Barista Espresso,Cappuccino Lg,You will think you are in Venice when you sip this one. ,3.0 oz,10200,51000,Y,N,N
42,Beverages,Tea,Brewed herbal tea,Lemon Grass Rg,You will think you are in Thailand. ,16 oz,7560,30000,Y,N,N
43,Beverages,Tea,Brewed herbal tea,Lemon Grass Lg,You will think you are in Thailand. ,24 oz,9000,36000,Y,N,N
44,Beverages,Tea,Brewed herbal tea,Peppermint Rg,A cool and refreshing cup.,16 oz,7560,30000,Y,N,Y
45,Beverages,Tea,Brewed herbal tea,Peppermint Lg,A cool and refreshing cup.,24 oz,9000,36000,Y,N,Y
46,Beverages,Tea,Brewed Green tea,Serenity Green Tea Rg,Feel the stress leaving your body. ,16 oz,7560,30000,Y,N,N
47,Beverages,Tea,Brewed Green tea,Serenity Green Tea Lg,Feel the stress leaving your body. ,24 oz,9000,36000,Y,N,N
48,Beverages,Tea,Brewed Black tea,English Breakfast Rg,The Queen's favourite cuppa in the morning. ,16 oz,7560,30000,Y,N,N
49,Beverages,Tea,Brewed Black tea,English Breakfast Lg,The Queen's favourite cuppa in the morning. ,24 oz,9000,36000,Y,N,N
50,Beverages,Tea,Brewed Black tea,Earl Grey Rg,Tradition in a cup.,16 oz,7560,30000,Y,N,N
51,Beverages,Tea,Brewed Black tea,Earl Grey Lg,Tradition in a cup.,24 oz,9000,36000,Y,N,N
52,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Sit back and think of the tropical breezes.,16 oz,7560,30000,Y,N,N
53,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Sit back and think of the tropical breezes.,24 oz,9000,36000,Y,N,N
54,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Face the morning after your yoga routine. ,16 oz,7560,30000,Y,N,N
55,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Face the morning after your yoga routine. ,24 oz,12000,48000,Y,N,N
56,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,When you need your eyes opened wide.,16 oz,7680,30600,Y,N,Y
57,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,When you need your eyes opened wide.,24 oz,9360,37200,Y,N,Y
58,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,"Slightly bitter, but still very rich. ",12 oz,31560,42000,Y,N,N
59,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,"Slightly bitter, but still very rich. ",16 oz,40560,54000,Y,N,N
60,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Just pure notes of spice.,12 oz,33720,45000,Y,N,N
61,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Just pure notes of spice.,16 oz,42720,57000,Y,N,N
62,Beverages,Drinking Chocolate,Hot chocolate,Snow Day Hot Chocolate,Added marshmallows for the needed sugar rush.,8 oz,27000,36000,Y,N,Y
63,Add-ons,Flavours,Regular syrup,Carmel syrup,Rich carmel taste,pump,480,9600,Y,N,N
64,Add-ons,Flavours,Regular syrup,Hazelnut syrup,Bursting with nutty flavour,pump,480,9600,Y,N,N
65,Add-ons,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Our favorite,pump,480,9600,Y,N,N
66,Beverages,Coffee,Seasonal drink,Pumpkin Spice Latte,"Boo, its that time of year again",1.5 oz,11880,59400,Y,N,Y
67,Beverages,Coffee,Seasonal drink,Pumpkin Spice Latte Lg,"Boo, its that time of year again",3.0 oz,14280,71400,Y,Y,Y
68,Beverages,Drinking Chocolate,Seasonal drink,Happy Holidays hot chocolate,"Candy cane and hot chocolate, perfect.",8 oz,33720,45000,Y,N,Y
75,Food,Bakery,Pastry,Croissant,Flakey and buttery,single,25320,39000,N,N,Y
70,Food,Bakery,Scone,Cranberry Scone,Like Grandma used to make,single,25320,39000,N,N,N
71,Food,Bakery,Pastry,Chocolate Croissant,Chocolate flakes,single,29280,45000,N,N,N
72,Food,Bakery,Scone,Ginger Scone,Little bit of spice,single,25320,39000,N,N,N
73,Food,Bakery,Pastry,Almond Croissant,Crunch!,single,29280,45000,N,N,N
74,Food,Bakery,Biscotti,Ginger Biscotti,Crunch!,single,27360,42000,N,N,Y
69,Food,Bakery,Biscotti,Hazelnut Biscotti,Crunch!,single,27360,42000,N,N,N
76,Food,Bakery,Biscotti,Chocolate Chip Biscotti,Crunch!,single,27360,42000,N,N,N
77,Food,Bakery,Scone,Oatmeal Scone,Grannys fav,single,23400,36000,N,N,N
78,Food,Bakery,Scone,Scottish Cream Scone ,Old time comfort,single,35160,54000,N,N,N
79,Food,Bakery,Scone,Jumbo Savory Scone,"Anytime, anywhere",single,29280,45000,N,N,Y
80,Merchandise,Branded,Clothing,I Need My Bean! Toque,keep your head bean warm,single,88320,276000,N,N,N
81,Merchandise,Branded,Clothing,I Need My Bean! T-shirt,Stylish chic,single,107520,336000,N,N,N
82,Merchandise,Branded,Housewares,I Need My Bean! Diner mug,Classic,single,46080,144000,N,N,N
83,Merchandise,Branded,Housewares,I Need My Bean! Latte cup,The cup and saucer set is the perfect way to enjoy your latte at home,single,53760,168000,N,N,N
84,Add-ons,Flavours,Regular syrup,Chocolate syrup,Bursting with chocolate flavour,pump,480,9600,Y,N,N
85,Beverages,Coffee,Specialty coffee,Rio Nights,2 shots of Ouro Brasilerio and pure cane sugar syrup,6 oz,14400,72000,Y,N,Y
87,Beverages,Coffee,Barista Espresso,Ouro Brasileiro shot,From Rio,1.5 oz,7200,36000,Y,N,Y
88,Beverages,Coffee,Barista Espresso,Ouro Brasileiro shot promo,Ouro promo,16 oz,5040,25200,Y,Y,Y
89,Food,Bakery,Scone,Ginger Scone promo,Little bit of spice,single,20640,31800,N,N,Y
